Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Page Speed Results,Chrome 63.0.3239.108,,2018-01-11 13:49:36,2018-01-11 13:50:31,54.204s,FAILED
,,,,,,
Test Cases/URL analyze,Chrome 63.0.3239.108,,2018-01-11 13:49:37,2018-01-11 13:50:30,53.062s,FAILED
callTestCase,Chrome 63.0.3239.108,,2018-01-11 13:49:37,2018-01-11 13:49:58,20.650s,PASSED
sendKeys,Chrome 63.0.3239.108,,2018-01-11 13:49:58,2018-01-11 13:49:58,0.190s,PASSED
click,Chrome 63.0.3239.108,,2018-01-11 13:49:58,2018-01-11 13:49:58,0.121s,PASSED
waitForPageLoad,Chrome 63.0.3239.108,,2018-01-11 13:49:58,2018-01-11 13:49:58,0.006s,PASSED
getText,Chrome 63.0.3239.108,,2018-01-11 13:49:58,2018-01-11 13:50:30,31.688s,FAILED
